,
,
20816,cache-references
10275,cache-misses
2440206,cycles
660673,instructions
141422,branches
168,faults
0,migrations
2,context-switches
,
,
19991,cache-references
5956,cache-misses
2049915,cycles
652139,instructions
139100,branches
168,faults
0,migrations
1,context-switches
,
,
20692,cache-references
5451,cache-misses
2104118,cycles
657462,instructions
140423,branches
168,faults
0,migrations
2,context-switches
,
,
16352,cache-references
8120,cache-misses
2148194,cycles
639361,instructions
136762,branches
168,faults
0,migrations
1,context-switches
,
,
16455,cache-references
6235,cache-misses
1869499,cycles
643819,instructions
137862,branches
167,faults
0,migrations
1,context-switches
,
,
19179,cache-references
6346,cache-misses
2054703,cycles
649396,instructions
138880,branches
168,faults
0,migrations
2,context-switches
,
,
17601,cache-references
6212,cache-misses
1999050,cycles
662879,instructions
142832,branches
168,faults
0,migrations
1,context-switches
,
,
18423,cache-references
5273,cache-misses
1961083,cycles
611684,instructions
135961,branches
168,faults
0,migrations
2,context-switches
,
,
16521,cache-references
5399,cache-misses
1848985,cycles
633206,instructions
141475,branches
167,faults
0,migrations
1,context-switches
,
,
19499,cache-references
5863,cache-misses
1968010,cycles
620567,instructions
137877,branches
168,faults
0,migrations
1,context-switches
,
,
16040,cache-references
4306,cache-misses
1751242,cycles
635003,instructions
141453,branches
168,faults
0,migrations
1,context-switches
,
,
17984,cache-references
7222,cache-misses
2109656,cycles
609359,instructions
135320,branches
167,faults
0,migrations
1,context-switches
,
,
17684,cache-references
9411,cache-misses
2405012,cycles
637367,instructions
142137,branches
168,faults
0,migrations
1,context-switches
,
,
17098,cache-references
5990,cache-misses
1976472,cycles
615402,instructions
136610,branches
168,faults
0,migrations
1,context-switches
,
,
21102,cache-references
7347,cache-misses
2298768,cycles
792479,instructions
174705,branches
168,faults
0,migrations
2,context-switches
,
,
17875,cache-references
5571,cache-misses
2070560,cycles
609549,instructions
135369,branches
168,faults
0,migrations
1,context-switches
,
,
16101,cache-references
5255,cache-misses
1802369,cycles
638309,instructions
142088,branches
168,faults
0,migrations
1,context-switches
,
,
16644,cache-references
6079,cache-misses
1881843,cycles
610074,instructions
134819,branches
168,faults
0,migrations
1,context-switches
,
,
22518,cache-references
7272,cache-misses
2436584,cycles
617263,instructions
137194,branches
168,faults
0,migrations
1,context-switches
,
,
16229,cache-references
4225,cache-misses
1717112,cycles
640213,instructions
142879,branches
168,faults
0,migrations
1,context-switches
,
,
17364,cache-references
5538,cache-misses
1842479,cycles
617351,instructions
137194,branches
168,faults
0,migrations
1,context-switches
,
,
16409,cache-references
6054,cache-misses
1839870,cycles
631144,instructions
140728,branches
168,faults
0,migrations
1,context-switches
,
,
17265,cache-references
6348,cache-misses
1974832,cycles
622729,instructions
137992,branches
168,faults
0,migrations
1,context-switches
,
,
16383,cache-references
5853,cache-misses
1896612,cycles
614304,instructions
136545,branches
168,faults
0,migrations
1,context-switches
,
,
17417,cache-references
7778,cache-misses
2112172,cycles
652466,instructions
144571,branches
168,faults
0,migrations
1,context-switches
,
,
29522,cache-references
12529,cache-misses
3414211,cycles
627136,instructions
139166,branches
167,faults
0,migrations
2,context-switches
,
,
20844,cache-references
6248,cache-misses
2607338,cycles
621123,instructions
137625,branches
167,faults
