,
,
21623,cache-references
5574,cache-misses
1936168,cycles
638211,instructions
136436,branches
167,faults
0,migrations
1,context-switches
,
,
15214,cache-references
4048,cache-misses
1650808,cycles
637033,instructions
136241,branches
167,faults
0,migrations
1,context-switches
,
,
18895,cache-references
4714,cache-misses
1839403,cycles
659628,instructions
141365,branches
168,faults
0,migrations
2,context-switches
,
,
14874,cache-references
4080,cache-misses
1583639,cycles
635158,instructions
135829,branches
167,faults
0,migrations
1,context-switches
,
,
17319,cache-references
4081,cache-misses
1687397,cycles
631164,instructions
135016,branches
167,faults
0,migrations
1,context-switches
,
,
17052,cache-references
4062,cache-misses
1632484,cycles
623436,instructions
138643,branches
168,faults
0,migrations
1,context-switches
,
,
17028,cache-references
6021,cache-misses
1808970,cycles
615455,instructions
136565,branches
168,faults
0,migrations
1,context-switches
,
,
14817,cache-references
5364,cache-misses
1576997,cycles
602308,instructions
133719,branches
168,faults
0,migrations
1,context-switches
,
,
16475,cache-references
4254,cache-misses
1658430,cycles
621618,instructions
137950,branches
168,faults
0,migrations
1,context-switches
,
,
17555,cache-references
5125,cache-misses
1728045,cycles
597614,instructions
132494,branches
168,faults
0,migrations
1,context-switches
,
,
17055,cache-references
3711,cache-misses
1672614,cycles
621962,instructions
138095,branches
168,faults
0,migrations
1,context-switches
,
,
16106,cache-references
3958,cache-misses
1725682,cycles
638633,instructions
136515,branches
168,faults
0,migrations
1,context-switches
,
,
15077,cache-references
4076,cache-misses
1632217,cycles
622477,instructions
132961,branches
168,faults
0,migrations
1,context-switches
,
,
14931,cache-references
3406,cache-misses
1627896,cycles
634393,instructions
135676,branches
167,faults
0,migrations
1,context-switches
,
,
15012,cache-references
4073,cache-misses
1678677,cycles
611909,instructions
135950,branches
168,faults
0,migrations
1,context-switches
,
,
16896,cache-references
4275,cache-misses
1692151,cycles
611110,instructions
135791,branches
168,faults
0,migrations
1,context-switches
,
,
27132,cache-references
8308,cache-misses
2484862,cycles
620937,instructions
138036,branches
168,faults
0,migrations
1,context-switches
,
,
17467,cache-references
6021,cache-misses
1839623,cycles
613787,instructions
136226,branches
168,faults
0,migrations
1,context-switches
,
,
15589,cache-references
3863,cache-misses
1598681,cycles
602375,instructions
133736,branches
167,faults
0,migrations
1,context-switches
,
,
25185,cache-references
6734,cache-misses
2600300,cycles
614174,instructions
136354,branches
168,faults
0,migrations
1,context-switches
,
,
16422,cache-references
5984,cache-misses
2076066,cycles
605773,instructions
134511,branches
168,faults
0,migrations
1,context-switches
,
,
15434,cache-references
5287,cache-misses
1771439,cycles
608470,instructions
135328,branches
168,faults
0,migrations
1,context-switches
,
,
17422,cache-references
6767,cache-misses
2268062,cycles
612450,instructions
136186,branches
167,faults
0,migrations
1,context-switches
,
,
15553,cache-references
3784,cache-misses
1654504,cycles
605162,instructions
134520,branches
167,faults
0,migrations
1,context-switches
,
,
28878,cache-references
9235,cache-misses
3040376,cycles
617123,instructions
137090,branches
168,faults
0,migrations
1,context-switches
,
,
25848,cache-references
5937,cache-misses
2795773,cycles
633754,instructions
140892,branches
168,faults
0,migrations
1,context-switches
,
,
21169,cache-references
7187,cache-misses
2351325,cycles
612931,instructions
136323,branches
168,faults
