,
,
23516,cache-references
10988,cache-misses
2540752,cycles
625921,instructions
138739,branches
167,faults
0,migrations
2,context-switches
,
,
16327,cache-references
7092,cache-misses
1933262,cycles
606461,instructions
134673,branches
168,faults
0,migrations
1,context-switches
,
,
15741,cache-references
5916,cache-misses
1870503,cycles
614215,instructions
136416,branches
168,faults
0,migrations
1,context-switches
,
,
15778,cache-references
6390,cache-misses
1881567,cycles
606843,instructions
134815,branches
168,faults
0,migrations
1,context-switches
,
,
15763,cache-references
6727,cache-misses
1915957,cycles
611737,instructions
135402,branches
167,faults
0,migrations
1,context-switches
,
,
15313,cache-references
5838,cache-misses
1840069,cycles
604524,instructions
134138,branches
168,faults
0,migrations
1,context-switches
,
,
16745,cache-references
5583,cache-misses
1901946,cycles
611986,instructions
136098,branches
168,faults
0,migrations
1,context-switches
,
,
15993,cache-references
6424,cache-misses
1921467,cycles
610229,instructions
135437,branches
167,faults
0,migrations
1,context-switches
,
,
17134,cache-references
6212,cache-misses
1885324,cycles
603250,instructions
133937,branches
167,faults
0,migrations
1,context-switches
,
,
15711,cache-references
5490,cache-misses
1805601,cycles
609663,instructions
135413,branches
168,faults
0,migrations
1,context-switches
,
,
15768,cache-references
5650,cache-misses
1795972,cycles
603146,instructions
134071,branches
167,faults
0,migrations
1,context-switches
,
,
17019,cache-references
6132,cache-misses
1988347,cycles
616949,instructions
136768,branches
168,faults
0,migrations
1,context-switches
,
,
15825,cache-references
5125,cache-misses
1796961,cycles
608916,instructions
135245,branches
167,faults
0,migrations
1,context-switches
,
,
17482,cache-references
6731,cache-misses
2013507,cycles
605450,instructions
134443,branches
168,faults
0,migrations
1,context-switches
,
,
15606,cache-references
6806,cache-misses
1909126,cycles
605863,instructions
134530,branches
167,faults
0,migrations
1,context-switches
,
,
15444,cache-references
6048,cache-misses
1917396,cycles
607267,instructions
134535,branches
167,faults
0,migrations
1,context-switches
,
,
19339,cache-references
7317,cache-misses
2166424,cycles
610604,instructions
135758,branches
168,faults
0,migrations
1,context-switches
,
,
31941,cache-references
6891,cache-misses
2753851,cycles
608606,instructions
135321,branches
167,faults
0,migrations
1,context-switches
,
,
18819,cache-references
6505,cache-misses
2101265,cycles
623548,instructions
138622,branches
168,faults
0,migrations
1,context-switches
,
,
16030,cache-references
6128,cache-misses
1891067,cycles
605576,instructions
134482,branches
168,faults
0,migrations
1,context-switches
,
,
19573,cache-references
5936,cache-misses
2032232,cycles
613308,instructions
136273,branches
168,faults
0,migrations
1,context-switches
,
,
16206,cache-references
6924,cache-misses
1923834,cycles
607780,instructions
134977,branches
168,faults
0,migrations
1,context-switches
,
,
21222,cache-references
7369,cache-misses
2219409,cycles
614225,instructions
136289,branches
168,faults
0,migrations
1,context-switches
,
,
30146,cache-references
7898,cache-misses
2831125,cycles
615056,instructions
136651,branches
168,faults
0,migrations
1,context-switches
,
,
20802,cache-references
6799,cache-misses
2302714,cycles
633847,instructions
140386,branches
167,faults
0,migrations
1,context-switches
,
,
15779,cache-references
4605,cache-misses
1744123,cycles
613512,instructions
136296,branches
168,faults
0,migrations
1,context-switches
,
,
15906,cache-references
6158,cache-misses
1837103,cycles
608167,instructions
134945,branches
168,faults
