# started on Sun Mar  5 14:58:56 2017

    24.025053171 0  L1-dcache-prefetch-misses
    24.025053171 158270  L1-icache-load-misses
    24.526414798 729940  L1-dcache-store-misses
    24.526414798 0  L1-dcache-prefetch-misses
    24.526414798 159744  L1-icache-load-misses
    25.026984795 736345  L1-dcache-store-misses
    25.026984795 0  L1-dcache-prefetch-misses
    25.026984795 164221  L1-icache-load-misses
    25.527515963 736950  L1-dcache-store-misses
    25.527515963 0  L1-dcache-prefetch-misses
    25.527515963 160391  L1-icache-load-misses
    26.027799132 778824  L1-dcache-store-misses
    26.027799132 0  L1-dcache-prefetch-misses
    26.027799132 155698  L1-icache-load-misses
    26.528263369 795909  L1-dcache-store-misses
    26.528263369 0  L1-dcache-prefetch-misses
    26.528263369 157406  L1-icache-load-misses
    27.028525534 807757  L1-dcache-store-misses
    27.028525534 0  L1-dcache-prefetch-misses
    27.028525534 163084  L1-icache-load-misses
    27.529028409 795865  L1-dcache-store-misses
    27.529028409 0  L1-dcache-prefetch-misses
    27.529028409 165205  L1-icache-load-misses
    28.029465225 793013  L1-dcache-store-misses
    28.029465225 0  L1-dcache-prefetch-misses
    28.029465225 160015  L1-icache-load-misses
    28.529754810 834215  L1-dcache-store-misses
    28.529754810 0  L1-dcache-prefetch-misses
    28.529754810 192002  L1-icache-load-misses
    29.030318313 930700  L1-dcache-store-misses
    29.030318313 0  L1-dcache-prefetch-misses
    29.030318313 885562  L1-icache-load-misses
    29.530749701 745702  L1-dcache-store-misses
    29.530749701 0  L1-dcache-prefetch-misses
    29.530749701 155805  L1-icache-load-misses
    30.031249913 731258  L1-dcache-store-misses
    30.031249913 0  L1-dcache-prefetch-misses
    30.031249913 161752  L1-icache-load-misses
    30.531657448 749732  L1-dcache-store-misses
    30.531657448 0  L1-dcache-prefetch-misses
    30.531657448 160560  L1-icache-load-misses
    31.032102168 741905  L1-dcache-store-misses
    31.032102168 0  L1-dcache-prefetch-misses
    31.032102168 151430  L1-icache-load-misses
    31.532513643 777693  L1-dcache-store-misses
    31.532513643 0  L1-dcache-prefetch-misses
    31.532513643 166202  L1-icache-load-misses
    32.033427285 745872  L1-dcache-store-misses
    32.033427285 0  L1-dcache-prefetch-misses
    32.033427285 160325  L1-icache-load-misses
    32.534058135 749749  L1-dcache-store-misses
    32.534058135 0  L1-dcache-prefetch-misses
    32.534058135 157688  L1-icache-load-misses
    33.034496613 734829  L1-dcache-store-misses
    33.034496613 0  L1-dcache-prefetch-misses
    33.034496613 156157  L1-icache-load-misses
    33.534961874 752418  L1-dcache-store-misses
    33.534961874 0  L1-dcache-prefetch-misses
    33.534961874 160522  L1-icache-load-misses
    34.035443756 774036  L1-dcache-store-misses
    34.035443756 0  L1-dcache-prefetch-misses
    34.035443756 158727  L1-icache-load-misses
    34.535910826 806200  L1-dcache-store-misses
    34.535910826 0  L1-dcache-prefetch-misses
    34.535910826 159050  L1-icache-load-misses
    35.036386123 756781  L1-dcache-store-misses
    35.036386123 0  L1-dcache-prefetch-misses
    35.036386123 154285  L1-icache-load-misses
    35.537025591 661174  L1-dcache-store-misses
    35.537025591 0  L1-dcache-prefetch-misses
    35.537025591 142610  L1-icache-load-misses
    36.037470911 767385  L1-dcache-store-misses
    36.037470911 0  L1-dcache-prefetch-misses
    36.037470911 574521  L1-icache-load-misses
    36.537778125 754715  L1-dcache-store-misses
    36.537778125 0  L1-dcache-prefetch-misses
    36.537778125 153950  L1-icache-load-misses
    37.038173097 722812  L1-dcache-store-misses
    37.038173097 0  L1-dcache-prefetch-misses
    37.038173097 153928  L1-icache-load-misses
    37.538618051 785888  L1-dcache-store-misses
    37.538618051 0  L1-dcache-prefetch-misses
    37.538618051 163112  L1-icache-load-misses
    38.039168575 726359  L1-dcache-store-misses
    38.039168575 0  L1-dcache-prefetch-misses
    38.039168575 148708  L1-icache-load-misses
    38.540360755 739897  L1-dcache-store-misses
    38.540360755 0  L1-dcache-prefetch-misses
    38.540360755 150741  L1-icache-load-misses
    39.041788572 735982  L1-dcache-store-misses
    39.041788572 0  L1-dcache-prefetch-misses
    39.041788572 159957  L1-icache-load-misses
    39.542323387 725940  L1-dcache-store-misses
    39.542323387 0  L1-dcache-prefetch-misses
    39.542323387 154383  L1-icache-load-misses
    40.042743488 778433  L1-dcache-store-misses
    40.042743488 0  L1-dcache-prefetch-misses
    40.042743488 159947  L1-icache-load-misses
    40.543332565 783505  L1-dcache-store-misses
    40.543332565 0  L1-dcache-prefetch-misses
    40.543332565 162777  L1-icache-load-misses
    41.044243026 780589  L1-dcache-store-misses
    41.044243026 0  L1-dcache-prefetch-misses
    41.044243026 161607  L1-icache-load-misses
    41.544486336 814075  L1-dcache-store-misses
    41.544486336 0  L1-dcache-prefetch-misses
    41.544486336 160436  L1-icache-load-misses
    42.045602280 786897  L1-dcache-store-misses
    42.045602280 0  L1-dcache-prefetch-misses
    42.045602280 157375  L1-icache-load-misses
    42.546654878 787864  L1-dcache-store-misses
    42.546654878 0  L1-dcache-prefetch-misses
    42.546654878 157282  L1-icache-load-misses
    43.047261064 630520  L1-dcache-store-misses
    43.047261064 0  L1-dcache-prefetch-misses
    43.047261064 260529  L1-icache-load-misses
    43.547740508 749799  L1-dcache-store-misses
    43.547740508 0  L1-dcache-prefetch-misses
    43.547740508 154226  L1-icache-load-misses
    44.048229771 755438  L1-dcache-store-misses
    44.048229771 0  L1-dcache-prefetch-misses
    44.048229771 157869  L1-icache-load-misses
    44.549321589 747591  L1-dcache-store-misses
    44.549321589 0  L1-dcache-prefetch-misses
    44.549321589 159343  L1-icache-load-misses
    45.050085471 799544  L1-dcache-store-misses
    45.050085471 0  L1-dcache-prefetch-misses
    45.050085471 498349  L1-icache-load-misses
    45.550576115 806813  L1-dcache-store-misses
    45.550576115 0  L1-dcache-prefetch-misses
    45.550576115 161563  L1-icache-load-misses
    46.050755697 723886  L1-dcache-store-misses
    46.050755697 0  L1-dcache-prefetch-misses
    46.050755697 148623  L1-icache-load-misses
    46.551270624 741131  L1-dcache-store-misses
    46.551270624 0  L1-dcache-prefetch-misses
    46.551270624 149552  L1-icache-load-misses
    47.051767802 716433  L1-dcache-store-misses
    47.051767802 0  L1-dcache-prefetch-misses
    47.051767802 154491  L1-icache-load-misses
    47.552304934 730880  L1-dcache-store-misses
    47.552304934 0  L1-dcache-prefetch-misses
    47.552304934 152379  L1-icache-load-misses
    48.052835531 725992  L1-dcache-store-misses
    48.052835531 0  L1-dcache-prefetch-misses
    48.052835531 148083  L1-icache-load-misses
    48.553329564 777048  L1-dcache-store-misses
    48.553329564 0  L1-dcache-prefetch-misses
    48.553329564 160454  L1-icache-load-misses
    49.053897833 733371  L1-dcache-store-misses
    49.053897833 0  L1-dcache-prefetch-misses
    49.053897833 149624  L1-icache-load-misses
    49.554438291 754164  L1-dcache-store-misses
    49.554438291 0  L1-dcache-prefetch-misses
    49.554438291 153316  L1-icache-load-misses
    50.054952435 801711  L1-dcache-store-misses
    50.054952435 0  L1-dcache-prefetch-misses
    50.054952435 549577  L1-icache-load-misses
    50.555656371 743998  L1-dcache-store-misses
    50.555656371 0  L1-dcache-prefetch-misses
    50.555656371 150769  L1-icache-load-misses
    51.056287911 734263  L1-dcache-store-misses
    51.056287911 0  L1-dcache-prefetch-misses
    51.056287911 152583  L1-icache-load-misses
    51.556725096 773352  L1-dcache-store-misses
    51.556725096 0  L1-dcache-prefetch-misses
    51.556725096 158233  L1-icache-load-misses
    52.057244464 724084  L1-dcache-store-misses
    52.057244464 0  L1-dcache-prefetch-misses
    52.057244464 155939  L1-icache-load-misses
    52.558463395 722711  L1-dcache-store-misses
    52.558463395 0  L1-dcache-prefetch-misses
    52.558463395 146760  L1-icache-load-misses
    53.058997904 729365  L1-dcache-store-misses
    53.058997904 0  L1-dcache-prefetch-misses
    53.058997904 159171  L1-icache-load-misses
    53.559239068 749765  L1-dcache-store-misses
    53.559239068 0  L1-dcache-prefetch-misses
    53.559239068 149978  L1-icache-load-misses
    54.059645158 785403  L1-dcache-store-misses
    54.059645158 0  L1-dcache-prefetch-misses
    54.059645158 160394  L1-icache-load-misses
    54.559856982 794866  L1-dcache-store-misses
    54.559856982 0  L1-dcache-prefetch-misses
    54.559856982 156972  L1-icache-load-misses
    55.060565239 782530  L1-dcache-store-misses
    55.060565239 0  L1-dcache-prefetch-misses
    55.060565239 158861  L1-icache-load-misses
    55.560835839 780246  L1-dcache-store-misses
    55.560835839 0  L1-dcache-prefetch-misses
    55.560835839 152535  L1-icache-load-misses
    56.061609345 767288  L1-dcache-store-misses
    56.061609345 0  L1-dcache-prefetch-misses
    56.061609345 160353  L1-icache-load-misses
    56.562280523 778299  L1-dcache-store-misses
    56.562280523 0  L1-dcache-prefetch-misses
    56.562280523 151382  L1-icache-load-misses
    57.062989237 756648  L1-dcache-store-misses
    57.062989237 0  L1-dcache-prefetch-misses
    57.062989237 562986  L1-icache-load-misses
    57.563324214 741379  L1-dcache-store-misses
    57.563324214 0  L1-dcache-prefetch-misses
    57.563324214 154138  L1-icache-load-misses
    58.064353908 742893  L1-dcache-store-misses
    58.064353908 0  L1-dcache-prefetch-misses
    58.064353908 159842  L1-icache-load-misses
    58.565203440 758084  L1-dcache-store-misses
    58.565203440 0  L1-dcache-prefetch-misses
    58.565203440 153596  L1-icache-load-misses
    59.065773702 733462  L1-dcache-store-misses
    59.065773702 0  L1-dcache-prefetch-misses
    59.065773702 152794  L1-icache-load-misses
    59.566261949 779570  L1-dcache-store-misses
    59.566261949 0  L1-dcache-prefetch-misses
    59.566261949 157700  L1-icache-load-misses
    60.066739535 728440  L1-dcache-store-misses
    60.066739535 0  L1-dcache-prefetch-misses
    60.066739535 163967  L1-icache-load-misses
    60.567258543 727606  L1-dcache-store-misses
    60.567258543 0  L1-dcache-prefetch-misses
    60.567258543 157523  L1-icache-load-misses
    61.067718039 746529  L1-dcache-store-misses
    61.067718039 0  L1-dcache-prefetch-misses
    61.067718039 156984  L1-icache-load-misses
    61.568291317 749941  L1-dcache-store-misses
    61.568291317 0  L1-dcache-prefetch-misses
    61.568291317 151687  L1-icache-load-misses
    62.068804378 723891  L1-dcache-store-misses
    62.068804378 0  L1-dcache-prefetch-misses
    62.068804378 154287  L1-icache-load-misses
    62.569318566 795654  L1-dcache-store-misses
    62.569318566 0  L1-dcache-prefetch-misses
    62.569318566 161087  L1-icache-load-misses
    63.069839349 748494  L1-dcache-store-misses
    63.069839349 0  L1-dcache-prefetch-misses
    63.069839349 150582  L1-icache-load-misses
    63.570391475 719234  L1-dcache-store-misses
    63.570391475 0  L1-dcache-prefetch-misses
    63.570391475 150826  L1-icache-load-misses
    64.070814336 775179  L1-dcache-store-misses
    64.070814336 0  L1-dcache-prefetch-misses
    64.070814336 541223  L1-icache-load-misses
    64.571749210 753419  L1-dcache-store-misses
