# started on Sun Mar  5 14:18:38 2017

     0.501766126 1484031  r412e
     0.501766126 5850207  r4f2e
     0.501766126 22885840  branch-loads
     0.501766126 705362  branch-load-misses
     0.501766126 5365  faults
     1.003469838 2083165  r412e
     1.003469838 8587251  r4f2e
     1.003469838 62383658  branch-loads
     1.003469838 2028067  branch-load-misses
     1.003469838 4355  faults
     1.504434940 2585300  r412e
     1.504434940 4747133  r4f2e
     1.504434940 83771148  branch-loads
     1.504434940 1452378  branch-load-misses
     1.504434940 1651  faults
     2.005367434 2768361  r412e
     2.005367434 3775637  r4f2e
     2.005367434 25356649  branch-loads
     2.005367434 362849  branch-load-misses
     2.005367434 0  faults
     2.505674227 2748962  r412e
     2.505674227 3759840  r4f2e
     2.505674227 25258222  branch-loads
     2.505674227 358223  branch-load-misses
     2.505674227 0  faults
     3.006085407 2898512  r412e
     3.006085407 3930289  r4f2e
     3.006085407 25664385  branch-loads
     3.006085407 388999  branch-load-misses
     3.006085407 0  faults
     3.506970153 2729929  r412e
     3.506970153 3727412  r4f2e
     3.506970153 25136521  branch-loads
     3.506970153 345203  branch-load-misses
     3.506970153 0  faults
     4.007356721 2859466  r412e
     4.007356721 3840330  r4f2e
     4.007356721 24557774  branch-loads
     4.007356721 364016  branch-load-misses
     4.007356721 0  faults
     4.507747014 2781051  r412e
     4.507747014 3773609  r4f2e
     4.507747014 24160738  branch-loads
     4.507747014 347950  branch-load-misses
     4.507747014 0  faults
     5.008064199 2839030  r412e
     5.008064199 3830462  r4f2e
     5.008064199 24310781  branch-loads
     5.008064199 354521  branch-load-misses
     5.008064199 0  faults
     5.508464539 2737428  r412e
     5.508464539 3722878  r4f2e
     5.508464539 23960986  branch-loads
     5.508464539 362328  branch-load-misses
     5.508464539 0  faults
     6.008803096 2921253  r412e
     6.008803096 4007657  r4f2e
     6.008803096 26342045  branch-loads
     6.008803096 370435  branch-load-misses
     6.008803096 0  faults
     6.509271254 2774537  r412e
     6.509271254 3755198  r4f2e
     6.509271254 24485870  branch-loads
     6.509271254 347948  branch-load-misses
     6.509271254 0  faults
     7.009568862 2755105  r412e
     7.009568862 3732491  r4f2e
     7.009568862 24870665  branch-loads
     7.009568862 358287  branch-load-misses
     7.009568862 0  faults
     7.510532117 2741919  r412e
     7.510532117 3740799  r4f2e
     7.510532117 24884259  branch-loads
     7.510532117 357720  branch-load-misses
     7.510532117 0  faults
     8.011167500 2618761  r412e
     8.011167500 3695961  r4f2e
     8.011167500 26061525  branch-loads
     8.011167500 421535  branch-load-misses
     8.011167500 1815  faults
     8.512315707 2660596  r412e
     8.512315707 4071534  r4f2e
     8.512315707 85737959  branch-loads
     8.512315707 1411566  branch-load-misses
     8.512315707 1397  faults
     9.012889884 2881854  r412e
     9.012889884 3924665  r4f2e
     9.012889884 26137385  branch-loads
     9.012889884 367557  branch-load-misses
     9.012889884 0  faults
     9.513871919 2734959  r412e
     9.513871919 3762515  r4f2e
     9.513871919 24757556  branch-loads
     9.513871919 357126  branch-load-misses
     9.513871919 0  faults
    10.014387006 2759798  r412e
    10.014387006 3751803  r4f2e
    10.014387006 25110684  branch-loads
    10.014387006 353396  branch-load-misses
    10.014387006 0  faults
    10.514807804 2704757  r412e
    10.514807804 3697059  r4f2e
    10.514807804 24654716  branch-loads
    10.514807804 355591  branch-load-misses
    10.514807804 0  faults
    11.015231882 2785027  r412e
    11.015231882 3784217  r4f2e
    11.015231882 24735840  branch-loads
    11.015231882 358418  branch-load-misses
    11.015231882 0  faults
    11.515796963 2866221  r412e
    11.515796963 3956003  r4f2e
    11.515796963 26369682  branch-loads
    11.515796963 364766  branch-load-misses
    11.515796963 0  faults
    12.016233778 2895023  r412e
    12.016233778 3968234  r4f2e
    12.016233778 26082123  branch-loads
    12.016233778 368610  branch-load-misses
    12.016233778 0  faults
    12.516595660 2871280  r412e
    12.516595660 3965008  r4f2e
    12.516595660 26215609  branch-loads
    12.516595660 376706  branch-load-misses
    12.516595660 0  faults
    13.017017814 2902510  r412e
    13.017017814 3984917  r4f2e
    13.017017814 25730469  branch-loads
    13.017017814 357938  branch-load-misses
    13.017017814 0  faults
    13.517371619 2878942  r412e
    13.517371619 3949271  r4f2e
    13.517371619 26064562  branch-loads
    13.517371619 378421  branch-load-misses
    13.517371619 0  faults
    14.017649608 2882019  r412e
    14.017649608 3934680  r4f2e
    14.017649608 26531690  branch-loads
    14.017649608 368622  branch-load-misses
    14.017649608 0  faults
    14.518035090 2868911  r412e
    14.518035090 3910794  r4f2e
    14.518035090 25819631  branch-loads
    14.518035090 358458  branch-load-misses
    14.518035090 0  faults
    15.018244441 2782379  r412e
    15.018244441 3964465  r4f2e
    15.018244441 26573880  branch-loads
    15.018244441 422409  branch-load-misses
    15.018244441 1758  faults
    15.518591945 2780379  r412e
    15.518591945 4070204  r4f2e
    15.518591945 90527052  branch-loads
    15.518591945 1490276  branch-load-misses
    15.518591945 1359  faults
    16.019104854 2754553  r412e
    16.019104854 3761635  r4f2e
    16.019104854 24924643  branch-loads
    16.019104854 356685  branch-load-misses
    16.019104854 0  faults
    16.519590158 2731480  r412e
    16.519590158 3739743  r4f2e
    16.519590158 25205320  branch-loads
    16.519590158 357064  branch-load-misses
    16.519590158 0  faults
    17.020096839 2767446  r412e
    17.020096839 3762901  r4f2e
    17.020096839 25142677  branch-loads
    17.020096839 356533  branch-load-misses
    17.020096839 0  faults
    17.520582215 2767189  r412e
    17.520582215 3786272  r4f2e
    17.520582215 25243484  branch-loads
    17.520582215 363066  branch-load-misses
    17.520582215 0  faults
    18.021043299 2818874  r412e
    18.021043299 3827446  r4f2e
    18.021043299 24961729  branch-loads
    18.021043299 353026  branch-load-misses
    18.021043299 0  faults
    18.521480348 2827565  r412e
    18.521480348 3881308  r4f2e
    18.521480348 26119051  branch-loads
    18.521480348 362866  branch-load-misses
    18.521480348 0  faults
    19.021912289 2779774  r412e
    19.021912289 3776329  r4f2e
    19.021912289 25026444  branch-loads
    19.021912289 375301  branch-load-misses
    19.021912289 0  faults
    19.522288616 2805176  r412e
    19.522288616 3804740  r4f2e
    19.522288616 24037596  branch-loads
    19.522288616 359349  branch-load-misses
    19.522288616 0  faults
    20.022661120 2851986  r412e
    20.022661120 3890330  r4f2e
    20.022661120 24716640  branch-loads
    20.022661120 364880  branch-load-misses
    20.022661120 0  faults
    20.522821076 2794019  r412e
    20.522821076 3830989  r4f2e
