# started on Wed Mar  1 14:16:39 2017

    14.025189886 2811983  cache-misses
    14.025189886 1369147999  cycles
    14.025189886 291533284  instructions
    14.025189886 26579296  branches
    14.025189886 0  faults
    14.025189886 0  migrations
    14.025189886 2  context-switches
    14.525776510 3800320  cache-references
    14.525776510 2799726  cache-misses
    14.525776510 1376979385  cycles
    14.525776510 294390693  instructions
    14.525776510 26898725  branches
    14.525776510 0  faults
    14.525776510 0  migrations
    14.525776510 6  context-switches
    15.026243714 3838038  cache-references
    15.026243714 2669951  cache-misses
    15.026243714 1250851253  cycles
    15.026243714 421656912  instructions
    15.026243714 64178064  branches
    15.026243714 2061  faults
    15.026243714 0  migrations
    15.026243714 72  context-switches
    15.527137824 3878873  cache-references
    15.527137824 2780479  cache-misses
    15.527137824 1332529793  cycles
    15.527137824 382410515  instructions
    15.527137824 50881634  branches
    15.527137824 632  faults
    15.527137824 0  migrations
    15.527137824 38  context-switches
    16.027873270 3651930  cache-references
    16.027873270 2720577  cache-misses
    16.027873270 1358739690  cycles
    16.027873270 291287024  instructions
    16.027873270 26619342  branches
    16.027873270 0  faults
    16.027873270 0  migrations
    16.027873270 6  context-switches
    16.528346491 3855321  cache-references
    16.528346491 2866516  cache-misses
    16.528346491 1407270520  cycles
    16.528346491 300184428  instructions
    16.528346491 27398765  branches
    16.528346491 0  faults
    16.528346491 0  migrations
    16.528346491 8  context-switches
    17.030128296 3749289  cache-references
    17.030128296 2793234  cache-misses
    17.030128296 1341109806  cycles
    17.030128296 285756007  instructions
    17.030128296 26074548  branches
    17.030128296 0  faults
    17.030128296 0  migrations
    17.030128296 10  context-switches
    17.531058611 3700805  cache-references
    17.531058611 2754277  cache-misses
    17.531058611 1337568756  cycles
    17.531058611 286011333  instructions
    17.531058611 26031002  branches
    17.531058611 0  faults
    17.531058611 0  migrations
    17.531058611 8  context-switches
    18.031954379 3682989  cache-references
    18.031954379 2737290  cache-misses
    18.031954379 1348898350  cycles
    18.031954379 287407329  instructions
    18.031954379 26224541  branches
    18.031954379 0  faults
    18.031954379 0  migrations
    18.031954379 6  context-switches
    18.532118510 3642768  cache-references
    18.532118510 2721421  cache-misses
    18.532118510 1355853671  cycles
    18.532118510 289107776  instructions
    18.532118510 26389958  branches
    18.532118510 0  faults
    18.532118510 0  migrations
    18.532118510 9  context-switches
    19.032984326 3687488  cache-references
    19.032984326 2749893  cache-misses
    19.032984326 1337412876  cycles
    19.032984326 287418937  instructions
    19.032984326 26175218  branches
    19.032984326 0  faults
    19.032984326 0  migrations
    19.032984326 9  context-switches
    19.538367184 3689467  cache-references
    19.538367184 2827730  cache-misses
    19.538367184 1420933580  cycles
    19.538367184 304640842  instructions
    19.538367184 27752536  branches
    19.538367184 0  faults
    19.538367184 0  migrations
    19.538367184 4  context-switches
    20.039623065 3495461  cache-references
    20.039623065 2670152  cache-misses
    20.039623065 1364968920  cycles
    20.039623065 293191757  instructions
    20.039623065 26759271  branches
    20.039623065 0  faults
    20.039623065 0  migrations
    20.039623065 4  context-switches
    20.540000510 3492297  cache-references
    20.540000510 2645207  cache-misses
    20.540000510 1366040607  cycles
    20.540000510 293430510  instructions
    20.540000510 26818565  branches
    20.540000510 0  faults
    20.540000510 0  migrations
    20.540000510 10  context-switches
    21.046581518 3522962  cache-references
    21.046581518 2673743  cache-misses
    21.046581518 1352696717  cycles
    21.046581518 290673029  instructions
    21.046581518 26481137  branches
    21.046581518 0  faults
    21.046581518 0  migrations
    21.046581518 11  context-switches
    21.547931525 3485883  cache-references
    21.547931525 2660243  cache-misses
    21.547931525 1359126862  cycles
    21.547931525 291615452  instructions
    21.547931525 26581106  branches
    21.547931525 0  faults
    21.547931525 0  migrations
    21.547931525 7  context-switches
    22.050103668 3839758  cache-references
    22.050103668 2703369  cache-misses
    22.050103668 1231668922  cycles
    22.050103668 402896544  instructions
    22.050103668 56416537  branches
    22.050103668 2775  faults
    22.050103668 0  migrations
    22.050103668 58  context-switches
    22.550472481 3551161  cache-references
    22.550472481 2648530  cache-misses
    22.550472481 1381402501  cycles
    22.550472481 426123197  instructions
    22.550472481 62777876  branches
    22.550472481 341  faults
    22.550472481 0  migrations
    22.550472481 8  context-switches
    23.051779791 3506799  cache-references
    23.051779791 2566778  cache-misses
    23.051779791 1308102063  cycles
    23.051779791 281705204  instructions
    23.051779791 25728520  branches
    23.051779791 0  faults
    23.051779791 0  migrations
    23.051779791 81  context-switches
    23.563909540 3514397  cache-references
    23.563909540 2663801  cache-misses
    23.563909540 1384527120  cycles
    23.563909540 299640486  instructions
    23.563909540 27309088  branches
    23.563909540 0  faults
    23.563909540 0  migrations
    23.563909540 5  context-switches
    24.069435458 3442185  cache-references
    24.069435458 2613700  cache-misses
    24.069435458 1379094139  cycles
    24.069435458 296195509  instructions
    24.069435458 27028573  branches
    24.069435458 0  faults
    24.069435458 0  migrations
    24.069435458 6  context-switches
    24.570582241 3529435  cache-references
    24.570582241 2680658  cache-misses
    24.570582241 1340266988  cycles
    24.570582241 288236041  instructions
    24.570582241 26198261  branches
    24.570582241 0  faults
    24.570582241 0  migrations
    24.570582241 8  context-switches
    25.071352937 3445241  cache-references
    25.071352937 2609980  cache-misses
    25.071352937 1368248925  cycles
    25.071352937 294588738  instructions
    25.071352937 26923841  branches
    25.071352937 0  faults
    25.071352937 0  migrations
    25.071352937 6  context-switches
    25.572841867 3574707  cache-references
    25.572841867 2703836  cache-misses
    25.572841867 1407297132  cycles
    25.572841867 304778851  instructions
    25.572841867 27783328  branches
    25.572841867 0  faults
    25.572841867 0  migrations
    25.572841867 6  context-switches
    26.074143994 3412693  cache-references
    26.074143994 2596843  cache-misses
    26.074143994 1369818524  cycles
    26.074143994 294618049  instructions
    26.074143994 26915337  branches
    26.074143994 0  faults
    26.074143994 0  migrations
    26.074143994 3  context-switches
    26.575584631 3546082  cache-references
    26.575584631 2687086  cache-misses
    26.575584631 1423368985  cycles
    26.575584631 308266919  instructions
    26.575584631 28188826  branches
    26.575584631 0  faults
    26.575584631 0  migrations
    26.575584631 3  context-switches
    27.076911209 3565512  cache-references
    27.076911209 2698101  cache-misses
    27.076911209 1420817301  cycles
    27.076911209 307314175  instructions
    27.076911209 28094445  branches
    27.076911209 0  faults
    27.076911209 0  migrations
    27.076911209 4  context-switches
    27.577071707 3755265  cache-references
    27.577071707 2751746  cache-misses
    27.577071707 1405221988  cycles
    27.577071707 301142921  instructions
    27.577071707 27503908  branches
    27.577071707 0  faults
    27.577071707 0  migrations
    27.577071707 7  context-switches
    28.079226242 3811965  cache-references
    28.079226242 2758929  cache-misses
    28.079226242 1404261714  cycles
    28.079226242 301337019  instructions
    28.079226242 27543110  branches
    28.079226242 0  faults
    28.079226242 0  migrations
    28.079226242 1  context-switches
    28.579832111 3761929  cache-references
    28.579832111 2726094  cache-misses
    28.579832111 1400328980  cycles
    28.579832111 300067903  instructions
    28.579832111 27402542  branches
    28.579832111 0  faults
    28.579832111 0  migrations
    28.579832111 5  context-switches
    29.083718781 4181661  cache-references
    29.083718781 2811315  cache-misses
    29.083718781 1257260719  cycles
    29.083718781 429105609  instructions
    29.083718781 63081664  branches
    29.083718781 2400  faults
    29.083718781 0  migrations
    29.083718781 96  context-switches
    29.584013129 3782673  cache-references
    29.584013129 2770953  cache-misses
    29.584013129 1324180141  cycles
    29.584013129 386202827  instructions
    29.584013129 55097196  branches
    29.584013129 264  faults
    29.584013129 0  migrations
    29.584013129 22  context-switches
    30.084347679 3883789  cache-references
    30.084347679 2857157  cache-misses
    30.084347679 1316187940  cycles
    30.084347679 281663949  instructions
    30.084347679 25674977  branches
    30.084347679 0  faults
    30.084347679 0  migrations
    30.084347679 7  context-switches
    30.585832443 3899391  cache-references
    30.585832443 2916460  cache-misses
    30.585832443 1406055004  cycles
    30.585832443 299618592  instructions
    30.585832443 27350337  branches
    30.585832443 0  faults
    30.585832443 0  migrations
    30.585832443 6  context-switches
    31.086456151 3751373  cache-references
    31.086456151 2809532  cache-misses
    31.086456151 1358673688  cycles
    31.086456151 290761683  instructions
    31.086456151 26576168  branches
    31.086456151 0  faults
    31.086456151 0  migrations
    31.086456151 6  context-switches
    31.586812202 3831433  cache-references
    31.586812202 2820606  cache-misses
    31.586812202 1325115616  cycles
    31.586812202 281392697  instructions
    31.586812202 25675701  branches
    31.586812202 0  faults
    31.586812202 0  migrations
    31.586812202 8  context-switches
    32.087013499 3852507  cache-references
    32.087013499 2838813  cache-misses
    32.087013499 1327911351  cycles
    32.087013499 282251538  instructions
    32.087013499 25695427  branches
    32.087013499 0  faults
    32.087013499 0  migrations
    32.087013499 4  context-switches
    32.589144207 3853824  cache-references
    32.589144207 2876438  cache-misses
    32.589144207 1349250387  cycles
    32.589144207 286607092  instructions
    32.589144207 26117028  branches
    32.589144207 0  faults
    32.589144207 0  migrations
    32.589144207 8  context-switches
    33.089607957 3810932  cache-references
    33.089607957 2825131  cache-misses
    33.089607957 1326255828  cycles
    33.089607957 282197001  instructions
    33.089607957 25762411  branches
    33.089607957 0  faults
    33.089607957 0  migrations
    33.089607957 9  context-switches
    33.589964717 4027710  cache-references
    33.589964717 2962645  cache-misses
    33.589964717 1390392433  cycles
    33.589964717 296463950  instructions
    33.589964717 27083523  branches
    33.589964717 0  faults
    33.589964717 0  migrations
    33.589964717 6  context-switches
    34.090320180 3868341  cache-references
    34.090320180 2854792  cache-misses
    34.090320180 1324587217  cycles
    34.090320180 281600824  instructions
    34.090320180 25652990  branches
    34.090320180 0  faults
    34.090320180 0  migrations
    34.090320180 6  context-switches
    34.590695803 3880126  cache-references
    34.590695803 2854786  cache-misses
    34.590695803 1318211718  cycles
    34.590695803 281705435  instructions
    34.590695803 25657674  branches
    34.590695803 0  faults
    34.590695803 0  migrations
    34.590695803 12  context-switches
    35.092627761 3760150  cache-references
    35.092627761 2807269  cache-misses
    35.092627761 1322622035  cycles
    35.092627761 282968581  instructions
    35.092627761 25711998  branches
    35.092627761 0  faults
    35.092627761 0  migrations
    35.092627761 7  context-switches
    35.595163710 3755565  cache-references
    35.595163710 2786232  cache-misses
    35.595163710 1308496490  cycles
    35.595163710 278907986  instructions
    35.595163710 25444184  branches
    35.595163710 0  faults
    35.595163710 0  migrations
    35.595163710 10  context-switches
    36.095689239 4003165  cache-references
    36.095689239 2759452  cache-misses
    36.095689239 1194043493  cycles
    36.095689239 315595601  instructions
    36.095689239 35386995  branches
    36.095689239 1753  faults
    36.095689239 0  migrations
    36.095689239 65  context-switches
    36.595988837 3972815  cache-references
    36.595988837 2949142  cache-misses
    36.595988837 1384366998  cycles
    36.595988837 294023182  instructions
    36.595988837 26813618  branches
    36.595988837 0  faults
    36.595988837 0  migrations
    36.595988837 5  context-switches
    37.096305810 3815752  cache-references
    37.096305810 2846576  cache-misses
    37.096305810 1333198140  cycles
    37.096305810 283782597  instructions
    37.096305810 25905832  branches
    37.096305810 0  faults
    37.096305810 0  migrations
    37.096305810 9  context-switches
    37.598896803 3772065  cache-references
    37.598896803 2831336  cache-misses
    37.598896803 1345846631  cycles
    37.598896803 287447587  instructions
    37.598896803 26157854  branches
    37.598896803 0  faults
    37.598896803 0  migrations
    37.598896803 9  context-switches
    38.099197088 3753387  cache-references
    38.099197088 2818055  cache-misses
    38.099197088 1348658270  cycles
    38.099197088 288645973  instructions
    38.099197088 26320644  branches
    38.099197088 0  faults
    38.099197088 0  migrations
    38.099197088 5  context-switches
    38.599492877 3830965  cache-references
    38.599492877 2846566  cache-misses
    38.599492877 1334942845  cycles
