# started on Sun Mar  5 14:37:48 2017

     0.500099537 1062286  dTLB-load-misses
     0.500099537 194233  dTLB-store-misses
     0.500099537 9037182  L1-dcache-load-misses
     1.001011059 180254  dTLB-load-misses
     1.001011059 86135  dTLB-store-misses
     1.001011059 5723864  L1-dcache-load-misses
     1.501490592 111691  dTLB-load-misses
     1.501490592 72558  dTLB-store-misses
     1.501490592 5885569  L1-dcache-load-misses
     2.001962405 113166  dTLB-load-misses
     2.001962405 74237  dTLB-store-misses
     2.001962405 5842309  L1-dcache-load-misses
     2.502271281 121660  dTLB-load-misses
     2.502271281 78308  dTLB-store-misses
     2.502271281 5788769  L1-dcache-load-misses
     3.002666906 127143  dTLB-load-misses
     3.002666906 83345  dTLB-store-misses
     3.002666906 6134051  L1-dcache-load-misses
     3.503016133 122807  dTLB-load-misses
     3.503016133 78505  dTLB-store-misses
     3.503016133 5847875  L1-dcache-load-misses
     4.003374164 119920  dTLB-load-misses
     4.003374164 78774  dTLB-store-misses
     4.003374164 5801918  L1-dcache-load-misses
     4.503608600 111511  dTLB-load-misses
     4.503608600 71723  dTLB-store-misses
     4.503608600 5657050  L1-dcache-load-misses
     5.004031485 117768  dTLB-load-misses
     5.004031485 76550  dTLB-store-misses
     5.004031485 5775077  L1-dcache-load-misses
     5.504404423 122276  dTLB-load-misses
     5.504404423 78245  dTLB-store-misses
     5.504404423 5783129  L1-dcache-load-misses
     6.004711047 125040  dTLB-load-misses
     6.004711047 82069  dTLB-store-misses
     6.004711047 6055094  L1-dcache-load-misses
     6.505096616 121359  dTLB-load-misses
     6.505096616 78234  dTLB-store-misses
     6.505096616 5769906  L1-dcache-load-misses
     7.005447690 120341  dTLB-load-misses
     7.005447690 78223  dTLB-store-misses
     7.005447690 5797242  L1-dcache-load-misses
     7.505770097 190081  dTLB-load-misses
     7.505770097 82047  dTLB-store-misses
     7.505770097 5233779  L1-dcache-load-misses
     8.006221137 229723  dTLB-load-misses
     8.006221137 93868  dTLB-store-misses
     8.006221137 5813228  L1-dcache-load-misses
     8.506653183 118803  dTLB-load-misses
     8.506653183 77050  dTLB-store-misses
     8.506653183 5830786  L1-dcache-load-misses
     9.007011194 127944  dTLB-load-misses
     9.007011194 84143  dTLB-store-misses
     9.007011194 6139197  L1-dcache-load-misses
     9.507859686 117852  dTLB-load-misses
     9.507859686 76153  dTLB-store-misses
     9.507859686 5848190  L1-dcache-load-misses
    10.008252382 113858  dTLB-load-misses
    10.008252382 75384  dTLB-store-misses
    10.008252382 5865956  L1-dcache-load-misses
    10.508639412 121191  dTLB-load-misses
    10.508639412 79659  dTLB-store-misses
    10.508639412 5798513  L1-dcache-load-misses
    11.008902234 122140  dTLB-load-misses
    11.008902234 76060  dTLB-store-misses
    11.008902234 5709436  L1-dcache-load-misses
    11.509255912 124948  dTLB-load-misses
    11.509255912 81933  dTLB-store-misses
    11.509255912 6014802  L1-dcache-load-misses
    12.009662169 121894  dTLB-load-misses
    12.009662169 80581  dTLB-store-misses
    12.009662169 6166298  L1-dcache-load-misses
    12.510049049 127312  dTLB-load-misses
    12.510049049 84036  dTLB-store-misses
    12.510049049 6151349  L1-dcache-load-misses
    13.010422730 128484  dTLB-load-misses
    13.010422730 84251  dTLB-store-misses
    13.010422730 6178656  L1-dcache-load-misses
    13.510827630 124874  dTLB-load-misses
    13.510827630 83023  dTLB-store-misses
    13.510827630 6113392  L1-dcache-load-misses
    14.011284128 115495  dTLB-load-misses
    14.011284128 77923  dTLB-store-misses
    14.011284128 6133115  L1-dcache-load-misses
    14.513367430 235563  dTLB-load-misses
    14.513367430 93876  dTLB-store-misses
    14.513367430 5639464  L1-dcache-load-misses
    15.013694653 178455  dTLB-load-misses
    15.013694653 91308  dTLB-store-misses
    15.013694653 6042366  L1-dcache-load-misses
    15.514106605 117870  dTLB-load-misses
    15.514106605 79724  dTLB-store-misses
    15.514106605 5763731  L1-dcache-load-misses
    16.015001992 114644  dTLB-load-misses
